,SMILES,Experimental LogP,Predicted LogP,Deviation
91,O=S(=O)(c1ccccc1)c1cnc2c(N3CCNCC3)cccc2c1,2.66,3.27,-0.61
92,COc1cccc2oc(-c3ccccc3)cc(=O)c12,2.81,3.24,-0.43
93,CC(C)(c1cc(Cl)c(O)c(CN2CCOCC2)c1)c1cc(Cl)c(O)c(CN2CCOCC2)c1,4.1,2.92,1.18
94,CCOC(=O)c1c(C)c(C(=O)OCC)n(C)c1C,2.63,2.21,0.42
95,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,2.51,2.57,-0.06
96,CN(C)CCCn1c2c3ccccc3ccc2c2oc(=O)c3ccccc3c21,4.24,4.45,-0.21
97,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,3.22,3.58,-0.36
98,O=c1c2ccccc2ccc2ccccc12,3.8,3.36,0.44
99,CN(C)C(=O)/N=N/C(=O)N(C)C,-0.95,-0.21,-0.74
100,CN(C)c1ccc(/C=C/C(=O)c2ccccc2)cc1Br,4.77,4.48,0.29
101,O=c1c2ccccc2ncn1-c1ccc(Cl)cc1,3.21,3.21,0.0
102,COc1cc2c(cc1OC)[C@@H](C)NCC2,1.67,1.54,0.13
103,c1ccc2cc(CC3=NCCN3)ccc2c1,2.19,2.64,-0.45
104,Cc1ccc(C(=O)Nc2nc(-c3ccccc3)cs2)o1,3.7,3.52,0.18
105,Cc1ccn2c(NC(=O)c3cccs3)c(-c3ccccc3)nc2c1,4.4,3.51,0.89
106,O=C(NCc1ccccc1Cl)C(=O)c1c[nH]c2ccccc12,3.33,3.43,-0.1
107,CCCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C,0.86,0.65,0.21
108,c1cnc2cc3c(cc2n1)[C@H]1CNC[C@@H]3C1,1.01,1.49,-0.48
109,Clc1nc2nc3n(c2nc1Cl)CCC3,1.74,1.31,0.43
110,Cc1cc(C)c(NS(=O)(=O)c2ccc(Cl)c(C(=O)O)c2)c(C)c1,4.26,3.19,1.07
111,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,0.52,1.57,-1.05
112,COc1ccc(S(=O)(=O)Nc2cc(C)ccn2)cc1,2.19,2.02,0.17
113,COc1ccc(-c2noc(CCC(=O)O)n2)cc1,1.96,1.85,0.11
114,O=C(Nc1cccc2ccccc12)c1ccc(F)cc1,4.2,4.04,0.16
115,O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1,5.06,4.41,0.65
116,COc1cc([C@@H]2c3cc4c(c(O)c3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC,2.51,1.71,0.8
117,CC(C)COc1nc2c(c(=O)n(C)c(=O)n2C)n1C,1.23,1.06,0.17
118,c1ccc(-c2cccc(-c3ccccn3)n2)nc1,3.16,2.66,0.5
119,COC(=O)[C@@H]1[C@@H](O)CC[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,2.1,2.29,-0.19
120,CN1Cc2c(N)cccc2[C@@H](c2ccccc2)C1,2.62,3.18,-0.56
121,COc1ccc2c(c1)CCc1sc(NC(=O)c3ccc(Cl)cc3)nc1-2,5.58,4.77,0.81
122,Cc1cccn2cc(-c3cccc(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c3)nc12,5.0,4.24,0.76
123,Cc1cc(NC(=O)c2ccccc2)cc(C)c1O,3.79,2.41,1.38
124,CNc1nc(SC)n(C)c(=O)c1N=O,0.72,0.83,-0.11
125,CC(C)c1cc(NCc2ccccn2)n2ncc(-c3ccccc3)c2n1,3.83,4.3,-0.47
126,CC(C)=CCN1CCC2(CCc3ccccc32)CC1,4.17,4.36,-0.19
127,CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC,2.33,1.85,0.48
128,CNCC/C=C/c1cccnc1,1.21,1.78,-0.57
129,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,4.11,3.51,0.6
130,O=C(c1cncc(Br)c1)N1CCN(Cc2ccsc2)CC1,2.17,2.32,-0.15
131,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,0.0,0.5,-0.5
132,COc1ccc(-c2csc3ncnc(NCCN4CCOCC4)c23)cc1,2.65,2.38,0.27
133,COc1ccc2c(c1)-c1nc(NC(=O)c3ccc(C)cc3)sc1CC2,5.49,4.4,1.09
134,C[C@](N)(CCP(=O)(O)O)C(=O)O,-3.44,-2.32,-1.12
135,Cc1cc(-c2nc3ccccc3s2)ccc1N,3.82,3.44,0.38
136,COc1ccc(-c2nc3nc(C)cc(C)n3c2Nc2c(C)cccc2C)cc1,4.57,4.59,-0.02
137,CN1CCCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,4.21,4.46,-0.25
138,CC(=N)NCc1cccc(CN)c1,0.17,1.05,-0.88
139,CCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1,4.88,4.24,0.64
140,Cc1cnc2c(N)cc(C)c(C)c2c1,2.84,2.31,0.53
141,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,3.12,2.74,0.38
142,NS(=O)(=O)c1cccnc1Nc1cccc(C(F)(F)F)c1,2.27,2.43,-0.16
143,CC(=O)OCCn1c([N+](=O)[O-])cnc1/C=[N+](\[O-])C1CCCCC1,-2.91,1.98,-4.89
144,Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3nccnc3c2)n1,4.0,3.46,0.54
145,O=C1OCC/C1=C\c1ccc2c(c1)OCO2,2.06,1.91,0.15
146,CCN(CC)CCOC(=O)[C@@H](c1ccccc1)C1CCCCC1,4.63,4.05,0.58
147,CC(C)(O)CC[C@@H](O)[C@@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,0.61,0.28,0.33
148,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN,1.42,2.24,-0.82
149,CO[C@]1(C2=NCCN2)COc2ccccc2O1,1.37,0.76,0.61
150,O=C1C(Nc2ccccc2)=CC(=O)c2ncccc21,1.58,1.84,-0.26
151,CCn1ccc(C(=O)NC2CCCC2)n1,1.57,1.6,-0.03
152,O=S(=O)(NCCn1ccc2ccccc21)c1ccc(F)cc1,3.07,3.19,-0.12
153,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1,3.84,3.25,0.59
154,CCCCN1C(=O)CC(C(=O)OCC)=C1C,1.22,1.71,-0.49
155,N=C(N)NC(=N)Nc1ccc(O)cc1,-0.13,0.82,-0.95
156,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,2.97,3.88,-0.91
157,Cn1c(=O)n(C)c2cc(CNCCc3ccc(F)cc3)ccc21,2.95,2.98,-0.03
158,[O-][n+]1nc2ccccc2c2ccccc21,0.21,2.51,-2.3
159,N[C@@]1(C(=O)O)CN[C@@H](C(=O)O)C1,-6.36,-2.74,-3.62
160,CN(C)N1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O,2.98,2.43,0.55
161,Cc1ccc(Nc2nc(-c3ccccc3)cs2)cc1,5.3,4.6,0.7
162,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1,1.52,2.18,-0.66
163,O=C(c1ccc(Cl)nc1)c1cccs1,2.95,2.7,0.25
164,O=C(Nc1ccc(N2CCOCC2)cc1)c1cc2ccccc2o1,3.03,3.46,-0.43
165,c1ccc2c(c1)Nc1ccncc1S2,2.41,2.25,0.16
166,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,3.84,4.1,-0.26
167,COc1ccc2[nH]c(-c3ccccc3)cc2c1,3.48,3.5,-0.02
168,Cc1cc(N2CCN(C(=O)c3ccco3)CC2)n2nc(C)c(-c3ccc(Cl)cc3)c2n1,3.35,3.68,-0.33
169,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,5.96,5.54,0.42
170,Cc1nc(NC(=O)c2ccc(Cl)cc2)nc2cc3c(cc12)OCO3,3.55,3.26,0.29
171,CCOC(=O)CCCSc1nc(O)c2c3c(sc2n1)CCC3,4.43,3.1,1.33
172,CNC(=O)c1ccc2cc([C@]3(O)CCn4cncc43)ccc2c1,0.75,2.43,-1.68
173,CN1CCC=C(C(=O)N2c3ccccc3Sc3ccc(Cl)cc32)C1,4.05,4.03,0.02
174,CN1[C@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,0.89,1.21,-0.32
175,Cc1[nH]c2ccccc2c1C(=O)C(=O)Nc1ccc2c(c1)OCO2,2.85,3.02,-0.17
176,c1ccc(-c2csc(Nc3ncccn3)n2)nc1,2.71,1.71,1.0
177,Clc1ccc([C@H](Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1,6.23,4.7,1.53
178,CCOC(=O)C1CCN(Cc2cn3c(-c4ccc(OC)cc4)nnc3s2)CC1,2.35,2.48,-0.13
179,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H](CN1CCCC1)c1cccc(OCC(=O)O)c1,1.26,3.76,-2.5
180,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,3.23,2.41,0.82
181,CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1,4.2,4.13,0.07
182,Fc1ccccc1-c1ccc(CNCc2ccco2)o1,3.09,2.36,0.73
183,CCN(CC)CCNc1ccc2nc(C)n3c4ccc(OC)cc4c(=O)c1c23,3.45,3.39,0.06
184,OCCNCCNCc1ccc(-c2cccc(Cl)c2)o1,1.71,2.57,-0.86
185,O=C(O)C1=CCCN(CCON=C(c2ccccc2)c2ccccc2)C1,1.21,3.78,-2.57
186,COc1ccc(NC(=O)/C=C/c2ccc(Cl)cc2)cc1,4.02,4.16,-0.14
187,CCOc1nc(OCC)c2cnn(C)c2n1,1.54,1.41,0.13
188,COc1ccc(-c2csc(Nc3ccc(C(=O)O)cc3)n2)cc1,4.29,3.87,0.42
189,CCCOc1ccc(-c2nc(N3CCCCC3)c3ccccc3n2)cc1,6.06,5.25,0.81
190,CN(C)c1ccc(Nc2nc(-c3ccc(O)cc3O)cs2)cc1,4.29,3.59,0.7
191,Cc1c(O)c(=O)ccn1C,0.61,0.13,0.48
192,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,3.36,4.13,-0.77
193,CCN(CC)CC(C)(C)C(=O)/C=C/c1ccc(C)cc1,4.92,3.43,1.49
194,Nc1ccc2nc3ccc(=O)cc-3n(-c3ccccc3)c2c1,3.07,3.28,-0.21
195,COc1ccc2c(CCN)c[nH]c2c1,1.33,1.69,-0.36
196,Cc1ccc(S(=O)(=O)N2CCSCCSCCSCCSCC2)cc1,3.5,3.38,0.12
197,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,3.11,4.09,-0.98
198,CN(C(=O)c1ccncc1)c1ccccc1,1.71,2.13,-0.42
199,CCOC(=O)c1c(N)n(Cc2ccccc2)c2nc3ccccc3nc12,4.37,3.47,0.9
200,CC1=C(C#N)C(C)(C)C(C#N)=C(C)N1,0.73,1.63,-0.9
201,CN(C)CCCCN1CCc2c(n(C)c3ccccc23)C1=O,2.15,2.62,-0.47
202,CCOC(=O)c1ccc2c(c1)NCc1cccc(OC)c1O2,2.9,3.3,-0.4
203,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,4.23,4.54,-0.31
204,Nc1ccc(-c2ccc3ccccc3n2)cc1,3.34,2.87,0.47
205,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,3.68,2.86,0.82
206,Cc1[nH]c2ccccc2c1C(=O)C(=O)NC1CCCCC1,3.0,2.97,0.03
207,COc1cc2c(cc1OC)[N+]([O-])=C(c1ccccc1)C2=O,-0.57,2.99,-3.56
208,O=c1cc(-c2cccnc2)oc2c1ccc1ccccc12,2.74,3.83,-1.09
209,N[C@@]1(C(=O)O)CC[C@H](C(=O)O)C1,-2.65,-2.3,-0.35
210,N[C@@H]1C[C@H]1c1ccccc1,1.34,1.87,-0.53
211,NC(=O)c1sc(-c2ccsc2)cc1N,1.98,1.84,0.14
212,c1ccc2c(c1)cnc1ccccc12,3.12,3.1,0.02
213,C[C@H]1CC[C@@H]2N(C1)C[C@H]1[C@@H]3C[C@H]4[C@@H](CC(=O)[C@H]5C[C@@H](O)CC[C@@]54C)[C@@H]3CC[C@H]1[C@]2(C)O,3.22,2.6,0.62
214,COCCOC(=O)c1c(C)oc2ccc(OC(=O)N(C)C)cc12,2.01,2.53,-0.52
215,CN(NC1=NCCO1)c1ccc2ccccc2c1,2.88,2.34,0.54
216,Cc1ccn2c(Nc3ccccc3C)c(-c3ccccc3)nc2c1,5.35,5.21,0.14
217,C[C@H]1CNCCc2ccc(Cl)cc21,2.83,2.46,0.37
218,Fc1ccc(C(OCCN2CCN(C/C=C/c3ccccc3)CC2)c2ccc(F)cc2)cc1,6.12,5.57,0.55
219,CCSc1nc(O)cc(O)n1,2.19,0.68,1.51
220,Cc1cccc(Nc2nc(-c3ccc(F)c(C)c3)cs2)n1,4.95,4.16,0.79
221,COc1cc(OC)c2c(=O)cc(-c3cccnc3)oc2c1,1.43,2.55,-1.12
222,COc1ccc(OC[C@@H]2c3cc(OC)c(OC)cc3CCN2C(=O)c2cccc(Cl)c2)cc1,4.87,4.68,0.19
223,Cc1nc2c(OCc3ccccc3)cccn2c1CC#N,2.07,3.26,-1.19
224,CCc1ccc(CCN2C(=O)c3ccccc3C2=O)nc1,2.7,2.46,0.24
225,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,3.74,2.86,0.88
226,N#Cc1ccc2ccn(CC(=O)N3CCCc4ccccc43)c2c1,3.41,3.64,-0.23
227,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(S)=NCCCN3CCN(C)CC3)cc12,2.98,4.11,-1.13
228,NC[C@H](O)COc1cccc2ccccc12,1.38,2.09,-0.71
229,Cc1ccc(C)c(S(=O)(=O)Nc2ccc3scnc3c2)c1,3.63,3.33,0.3
230,NCC(=O)c1cccc2ccc[n+]([O-])c12,-1.61,1.42,-3.03
231,CCOC(=O)c1c2c3c(cccc3n(C)c1=O)C(=O)c1ccccc1-2,2.7,3.3,-0.6
232,N#CC(C#N)=C/C(N)=C(/C#N)c1cc(O)c(O)c(O)c1,0.2,1.17,-0.97
233,COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC,4.24,3.59,0.65
234,Cc1ccc2nc(-c3cccc(S(=O)(=O)N4CCCC4)c3)cn2c1,2.77,2.78,-0.01
235,Clc1ccc(-c2nc3cnccn3c2Nc2ccc3c(c2)OCO3)cc1,3.33,3.88,-0.55
236,C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1,1.82,2.63,-0.81
237,Cc1ccc(C(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)cc1,4.9,4.47,0.43
238,CCOCc1cc(O)nc(SC)n1,1.96,1.28,0.68
239,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,3.31,2.92,0.39
240,O=C1c2ccccc2C(=O)N1c1nc(-c2ccccc2)cs1,3.95,3.49,0.46
241,Clc1ccc(-c2csc(N3CCOCC3)n2)c(Cl)c1,4.45,3.54,0.91
242,O=c1oc2cc(O)cc(O)c2c2ccccc12,2.32,1.87,0.45
243,CC(C)CN(CC(C)C)c1nc(-c2ccc(Cl)cc2)nc2ccccc12,7.63,5.67,1.96
244,CCC(C)(C)c1ccc(Oc2cccc(C(=O)O)c2)cc1,5.12,4.14,0.98
245,Cc1ccc(Nc2nc(-c3cccnc3)nc3ccccc23)cc1,4.98,4.42,0.56
246,Cc1cc(C(=O)OCC(=O)c2cccc([N+](=O)[O-])c2)c2ccccc2n1,3.44,3.24,0.2
247,Clc1ccc(-c2ccc(CNCc3ccccn3)o2)cc1,3.35,3.8,-0.45
248,Cc1cc(C(=O)NCc2ccc(F)cc2)n(-c2ccccc2)n1,3.05,3.99,-0.94
249,CCOC(=O)c1c(N)ssc1=S,1.97,1.6,0.37
250,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1,2.19,2.88,-0.69
251,COc1ccccc1-c1nc(-c2ccccn2)no1,3.16,2.35,0.81
252,CN1CCc2cc(Br)c(O)cc2[C@@H](c2ccccc2)C1,3.6,3.97,-0.37
253,C(=N\NC1=NCCN1)\c1c2ccccc2c(/C=N\NC2=NCCN2)c2ccccc12,2.6,3.04,-0.44
254,O=C(CSc1nnc2ccccn12)N1CCOCC1,-0.3,0.86,-1.16
255,COc1ccc2c(c1)CCc1sc(NC(=O)c3ccc(C)cc3)nc1-2,5.49,4.63,0.86
256,CC(C)=CCOc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,4.52,3.21,1.31
257,COc1ccc(C(=O)Nc2cc(OC)nc(OC)n2)cc1,2.54,2.19,0.35
258,COc1cccc(/C=C/c2nc(C#N)c(NCCN(C)C)o2)c1,2.15,2.45,-0.3
259,N#C/C(=C\c1ccc[nH]1)C(=O)c1ccccc1,2.7,3.14,-0.44
260,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,4.1,3.31,0.79
261,Cc1nc2c(O)cccc2cc1CO,1.19,1.17,0.02
262,CC(C)[C@H](C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,3.17,3.31,-0.14
