,SMILES,Experimental LogP,Predicted LogP,Deviation
246,OC(C#Cc1ccccc1)(c1ccccc1)c1ccccc1,4.97,4.33,0.64
247,Cc1cccc(-c2nc(Nc3ccc(C(=O)O)cc3)c3ccccc3n2)c1,5.3,5.4,-0.1
248,C(=C\c1nc2ccccc2o1)\c1ccc2c(c1)OCO2,3.51,3.62,-0.11
249,CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1,3.21,2.76,0.45
250,O=C(OCc1nc2ccccc2s1)c1ccc([N+](=O)[O-])o1,3.0,3.12,-0.12
251,C[C@H]1CCC/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1,2.01,1.39,0.62
252,Cc1ccc(C)c(C(=O)CCC(=O)O)c1,2.38,1.58,0.8
253,Cc1cccc(N(C(=O)c2cnc3n(c2=O)CCS3)C2CCCCC2)c1,3.86,3.29,0.57
254,C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12,4.47,3.8,0.67
255,CCn1cc(Br)c(C(=O)Nc2ccc(F)c(Cl)c2)n1,3.75,3.44,0.31
256,O=C(O)c1ccc(N2CCCCC2)cc1O,2.47,1.99,0.48
257,Cc1ccc2ccc3ccc(C)nc3c2n1,2.55,2.74,-0.19
258,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,4.07,4.12,-0.05
