CompoundID,ChemOntID,ClassifiedResults
Q10034623-1,NotAvailable,"predicted_chebi_terms: [""piperidines (CHEBI:26151)"", ""benzenes (CHEBI:22712)"", ""N-alkylpyrrolidine (CHEBI:46775)"", ""morpholines (CHEBI:38785)"", ""tertiary amino compound (CHEBI:50996)"", ""organonitrogen compound (CHEBI:35352)"", ""organooxygen compound (CHEBI:36963)"", ""carboxylic ester (CHEBI:33308)"", ""organonitrogen heterocyclic compound (CHEBI:38101)"", ""oxacycle (CHEBI:38104)"", ""ether (CHEBI:25698)"", ""epoxide (CHEBI:32955)"", ""monocarboxylic acid (CHEBI:25384)"", ""primary alcohol (CHEBI:15734)"", ""carbonyl compound (CHEBI:36586)"", ""organic molecule (CHEBI:72695)"", ""organic oxide (CHEBI:25701)"", ""3-hydroxy carboxylic acid (CHEBI:61355)"", ""chemical entity (CHEBI:24431)"", ""organic heterocyclic compound (CHEBI:24532)"", ""benzenoid aromatic compound (CHEBI:33836)"", ""pyrrolidines (CHEBI:38260)"", ""oxazinane (CHEBI:46952)"", ""nitrogen molecular entity (CHEBI:51143)"", ""organic molecular entity (CHEBI:50860)"", ""amine (CHEBI:32952)"", ""tertiary amine (CHEBI:32876)"", ""organic acid (CHEBI:64709)"", ""carboxylic acid (CHEBI:33575)"", ""oxygen molecular entity (CHEBI:25806)"", ""polyol (CHEBI:26191)"", ""organic hydroxy compound (CHEBI:33822)"", ""alcohol (CHEBI:30879)"", ""hydroxy carboxylic acid (CHEBI:24669)"", ""amino acid (CHEBI:33709)"", ""peptide (CHEBI:16670)""]"
Q10034623-1,NotAvailable,predicted_lipidmaps_terms: []
Q10034623-1,NotAvailable,Classification_version: 2.1
Q10034623-2,CHEMONTID:0000000,Kingdom: Organic compounds
Q10034623-2,CHEMONTID:0000002,Superclass: Organoheterocyclic compounds
Q10034623-2,CHEMONTID:0000089,Class: Pyridines and derivatives
Q10034623-2,CHEMONTID:0004152,Subclass: Methylpyridines
Q10034623-2,CHEMONTID:0004152,Direct_parent: Methylpyridines
Q10034623-2,CHEMONTID:0002279,alternative_parents: Benzene and substituted derivatives
Q10034623-2,CHEMONTID:0004144,alternative_parents: Heteroaromatic compounds
Q10034623-2,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
Q10034623-2,CHEMONTID:0004557,alternative_parents: Organopnictogen compounds
Q10034623-2,CHEMONTID:0000278,alternative_parents: Organonitrogen compounds
Q10034623-2,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Q10034623-2,NotAvailable,mMlecular_framework: Aromatic heteromonocyclic compounds
Q10034623-2,NotAvailable,"Substituents: [""Methylpyridine"", ""Benzenoid"", ""Monocyclic benzene moiety"", ""Heteroaromatic compound"", ""Azacycle"", ""Organic nitrogen compound"", ""Organopnictogen compound"", ""Hydrocarbon derivative"", ""Organonitrogen compound"", ""Aromatic heteromonocyclic compound""]"
Q10034623-2,NotAvailable,"External_descriptors: [[""source: CHEBI"", ""source_id: CHEBI:64159"", ""annotation: [\""methylpyridines\"", \""acetylenic compound\""]""]]"
Q10034623-2,NotAvailable,"Ancestors: [""Azacyclic compounds"", ""Benzene and substituted derivatives"", ""Benzenoids"", ""Chemical entities"", ""Heteroaromatic compounds"", ""Hydrocarbon derivatives"", ""Methylpyridines"", ""Organic compounds"", ""Organic nitrogen compounds"", ""Organoheterocyclic compounds"", ""Organonitrogen compounds"", ""Organopnictogen compounds"", ""Pyridines and derivatives""]"
Q10034623-2,NotAvailable,"predicted_chebi_terms: [""benzenes (CHEBI:22712)"", ""organic aromatic compound (CHEBI:33659)"", ""organonitrogen heterocyclic compound (CHEBI:38101)"", ""pnictogen molecular entity (CHEBI:33302)"", ""organic molecular entity (CHEBI:50860)"", ""organonitrogen compound (CHEBI:35352)"", ""organic molecule (CHEBI:72695)"", ""methylpyridines (CHEBI:25340)"", ""chemical entity (CHEBI:24431)"", ""benzenoid aromatic compound (CHEBI:33836)"", ""organic heterocyclic compound (CHEBI:24532)"", ""nitrogen molecular entity (CHEBI:51143)"", ""pyridines (CHEBI:26421)""]"
Q10034623-2,NotAvailable,predicted_lipidmaps_terms: []
Q10034623-2,NotAvailable,Classification_version: 2.1
Q10034623-3,CHEMONTID:0000000,Kingdom: Organic compounds
Q10034623-3,CHEMONTID:0000279,Superclass: Alkaloids and derivatives
Q10034623-3,CHEMONTID:0002246,Class: Cinchona alkaloids
Q10034623-3,CHEMONTID:0002246,Direct_parent: Cinchona alkaloids
Q10034623-3,CHEMONTID:0004538,alternative_parents: 4-quinolinemethanols
Q10034623-3,CHEMONTID:0000252,alternative_parents: Quinuclidines
Q10034623-3,CHEMONTID:0000138,alternative_parents: Anisoles
Q10034623-3,CHEMONTID:0003899,alternative_parents: Aralkylamines
Q10034623-3,CHEMONTID:0000128,alternative_parents: Alkyl aryl ethers
Q10034623-3,CHEMONTID:0000089,alternative_parents: Pyridines and derivatives
Q10034623-3,CHEMONTID:0000195,alternative_parents: Piperidines
Q10034623-3,CHEMONTID:0004144,alternative_parents: Heteroaromatic compounds
Q10034623-3,CHEMONTID:0002239,alternative_parents: Trialkylamines
Q10034623-3,CHEMONTID:0001661,alternative_parents: Secondary alcohols
Q10034623-3,CHEMONTID:0001897,"alternative_parents: 1,2-aminoalcohols"
Q10034623-3,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
Q10034623-3,CHEMONTID:0004557,alternative_parents: Organopnictogen compounds
Q10034623-3,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Q10034623-3,CHEMONTID:0003073,alternative_parents: Aromatic alcohols
Q10034623-3,NotAvailable,mMlecular_framework: Aromatic heteropolycyclic compounds
Q10034623-3,NotAvailable,"Substituents: [""Cinchonan-skeleton"", ""4-quinolinemethanol"", ""Quinoline"", ""Anisole"", ""Quinuclidine"", ""Alkyl aryl ether"", ""Aralkylamine"", ""Piperidine"", ""Pyridine"", ""Benzenoid"", ""Heteroaromatic compound"", ""1,2-aminoalcohol"", ""Tertiary aliphatic amine"", ""Tertiary amine"", ""Secondary alcohol"", ""Ether"", ""Azacycle"", ""Organoheterocyclic compound"", ""Organooxygen compound"", ""Organonitrogen compound"", ""Organic nitrogen compound"", ""Hydrocarbon derivative"", ""Organopnictogen compound"", ""Amine"", ""Alcohol"", ""Organic oxygen compound"", ""Aromatic alcohol"", ""Aromatic heteropolycyclic compound""]"
Q10034623-3,NotAvailable,"External_descriptors: [[""source: CHEBI"", ""source_id: CHEBI:15854"", ""annotation: [\""cinchona alkaloid\""]""]]"
Q10034623-3,NotAvailable,"Ancestors: [""1,2-aminoalcohols"", ""4-quinolinemethanols"", ""Alcohols and polyols"", ""Alkaloids and derivatives"", ""Alkanolamines"", ""Alkyl aryl ethers"", ""Amines"", ""Anisoles"", ""Aralkylamines"", ""Aromatic alcohols"", ""Azacyclic compounds"", ""Benzenoids"", ""Chemical entities"", ""Cinchona alkaloids"", ""Ethers"", ""Heteroaromatic compounds"", ""Hydrocarbon derivatives"", ""Organic compounds"", ""Organic nitrogen compounds"", ""Organic oxygen compounds"", ""Organoheterocyclic compounds"", ""Organonitrogen compounds"", ""Organooxygen compounds"", ""Organopnictogen compounds"", ""Phenol ethers"", ""Piperidines"", ""Pyridines and derivatives"", ""Quinolines and derivatives"", ""Quinuclidines"", ""Secondary alcohols"", ""Tertiary amines"", ""Trialkylamines""]"
Q10034623-3,NotAvailable,"predicted_chebi_terms: [""quinolines (CHEBI:26513)"", ""aromatic alcohol (CHEBI:33854)"", ""quinuclidines (CHEBI:26518)"", ""methoxybenzene (CHEBI:51683)"", ""aralkylamine (CHEBI:18000)"", ""aromatic ether (CHEBI:35618)"", ""pyridines (CHEBI:26421)"", ""piperidines (CHEBI:26151)"", ""organic aromatic compound (CHEBI:33659)"", ""tertiary amino compound (CHEBI:50996)"", ""secondary alcohol (CHEBI:35681)"", ""amino alcohol (CHEBI:22478)"", ""organonitrogen heterocyclic compound (CHEBI:38101)"", ""pnictogen molecular entity (CHEBI:33302)"", ""organic molecular entity (CHEBI:50860)"", ""organic molecule (CHEBI:72695)"", ""cinchona alkaloid (CHEBI:51323)"", ""chemical entity (CHEBI:24431)"", ""organic heterocyclic compound (CHEBI:24532)"", ""benzenoid aromatic compound (CHEBI:33836)"", ""nitrogen molecular entity (CHEBI:51143)"", ""organonitrogen compound (CHEBI:35352)"", ""amine (CHEBI:32952)"", ""oxygen molecular entity (CHEBI:25806)"", ""organooxygen compound (CHEBI:36963)"", ""ether (CHEBI:25698)"", ""tertiary amine (CHEBI:32876)"", ""polyol (CHEBI:26191)"", ""organic hydroxy compound (CHEBI:33822)"", ""alcohol (CHEBI:30879)"", ""alkaloid (CHEBI:22315)""]"
Q10034623-3,NotAvailable,predicted_lipidmaps_terms: []
Q10034623-3,NotAvailable,Classification_version: 2.1
Q10034623-4,CHEMONTID:0000000,Kingdom: Organic compounds
Q10034623-4,CHEMONTID:0000002,Superclass: Organoheterocyclic compounds
Q10034623-4,CHEMONTID:0002389,Class: Diazinanes
Q10034623-4,CHEMONTID:0000189,Subclass: Piperazines
Q10034623-4,CHEMONTID:0001984,Direct_parent: Phenylpiperazines
Q10034623-4,CHEMONTID:0003359,alternative_parents: N-arylpiperazines
Q10034623-4,CHEMONTID:0000314,alternative_parents: Triazolopyridines
Q10034623-4,CHEMONTID:0003901,alternative_parents: Dialkylarylamines
Q10034623-4,CHEMONTID:0000284,alternative_parents: Aniline and substituted anilines
Q10034623-4,CHEMONTID:0003964,alternative_parents: Aminotoluenes
Q10034623-4,CHEMONTID:0003357,alternative_parents: N-alkylpiperazines
Q10034623-4,CHEMONTID:0003899,alternative_parents: Aralkylamines
Q10034623-4,CHEMONTID:0000089,alternative_parents: Pyridines and derivatives
Q10034623-4,CHEMONTID:0000099,alternative_parents: Triazoles
Q10034623-4,CHEMONTID:0004144,alternative_parents: Heteroaromatic compounds
Q10034623-4,CHEMONTID:0002239,alternative_parents: Trialkylamines
Q10034623-4,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
Q10034623-4,CHEMONTID:0004557,alternative_parents: Organopnictogen compounds
Q10034623-4,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Q10034623-4,NotAvailable,mMlecular_framework: Aromatic heteropolycyclic compounds
Q10034623-4,NotAvailable,"Substituents: [""Phenylpiperazine"", ""N-arylpiperazine"", ""Triazolopyridine"", ""Tertiary aliphatic/aromatic amine"", ""Dialkylarylamine"", ""Aniline or substituted anilines"", ""Aminotoluene"", ""Aralkylamine"", ""N-alkylpiperazine"", ""Toluene"", ""Benzenoid"", ""Monocyclic benzene moiety"", ""Pyridine"", ""Heteroaromatic compound"", ""1,2,4-triazole"", ""Triazole"", ""Azole"", ""Tertiary aliphatic amine"", ""Tertiary amine"", ""Azacycle"", ""Hydrocarbon derivative"", ""Organic nitrogen compound"", ""Organonitrogen compound"", ""Amine"", ""Organopnictogen compound"", ""Aromatic heteropolycyclic compound""]"
Q10034623-4,NotAvailable,"External_descriptors: [[""source: CHEBI"", ""source_id: CHEBI:51066"", ""annotation: [\""N-arylpiperazine\"", \""pyridines\"", \""N-alkylpiperazine\""]""]]"
Q10034623-4,NotAvailable,"Ancestors: [""Amines"", ""Aminotoluenes"", ""Aniline and substituted anilines"", ""Aralkylamines"", ""Azacyclic compounds"", ""Azoles"", ""Benzene and substituted derivatives"", ""Benzenoids"", ""Chemical entities"", ""Dialkylarylamines"", ""Diazinanes"", ""Heteroaromatic compounds"", ""Hydrocarbon derivatives"", ""N-alkylpiperazines"", ""N-arylpiperazines"", ""Organic compounds"", ""Organic nitrogen compounds"", ""Organoheterocyclic compounds"", ""Organonitrogen compounds"", ""Organopnictogen compounds"", ""Phenylpiperazines"", ""Piperazines"", ""Pyridines and derivatives"", ""Tertiary alkylarylamines"", ""Tertiary amines"", ""Toluenes"", ""Trialkylamines"", ""Triazoles"", ""Triazolopyridines""]"
Q10034623-4,NotAvailable,"predicted_chebi_terms: [""N-arylpiperazine (CHEBI:46848)"", ""triazolopyridine (CHEBI:46746)"", ""dialkylarylamine (CHEBI:23665)"", ""tertiary amino compound (CHEBI:50996)"", ""anilines (CHEBI:22562)"", ""aminotoluene (CHEBI:22531)"", ""N-alkylpiperazine (CHEBI:46845)"", ""aralkylamine (CHEBI:18000)"", ""pyridines (CHEBI:26421)"", ""triazoles (CHEBI:35727)"", ""organic aromatic compound (CHEBI:33659)"", ""organonitrogen heterocyclic compound (CHEBI:38101)"", ""pnictogen molecular entity (CHEBI:33302)"", ""organic molecular entity (CHEBI:50860)"", ""organic molecule (CHEBI:72695)"", ""piperazines (CHEBI:26144)"", ""chemical entity (CHEBI:24431)"", ""organic heterocyclic compound (CHEBI:24532)"", ""nitrogen molecular entity (CHEBI:51143)"", ""organonitrogen compound (CHEBI:35352)"", ""amine (CHEBI:32952)"", ""tertiary amine (CHEBI:32876)"", ""benzenoid aromatic compound (CHEBI:33836)"", ""benzenes (CHEBI:22712)"", ""toluenes (CHEBI:27024)"", ""azole (CHEBI:68452)""]"
Q10034623-4,NotAvailable,predicted_lipidmaps_terms: []
Q10034623-4,NotAvailable,Classification_version: 2.1
Q10034623-5,CHEMONTID:0000000,Kingdom: Organic compounds
Q10034623-5,CHEMONTID:0000004,Superclass: Organosulfur compounds
Q10034623-5,CHEMONTID:0001202,Class: Thioethers
Q10034623-5,CHEMONTID:0004631,Subclass: Aryl thioethers
Q10034623-5,CHEMONTID:0003864,Direct_parent: Diarylthioethers
Q10034623-5,CHEMONTID:0002564,alternative_parents: Dichlorobenzenes
Q10034623-5,CHEMONTID:0002359,alternative_parents: Thiophenol ethers
Q10034623-5,CHEMONTID:0001100,alternative_parents: Fluorobenzenes
Q10034623-5,CHEMONTID:0000291,alternative_parents: Pyrimidones
Q10034623-5,CHEMONTID:0001030,alternative_parents: Aryl chlorides
Q10034623-5,CHEMONTID:0001031,alternative_parents: Aryl fluorides
Q10034623-5,CHEMONTID:0000074,alternative_parents: Pyridazines and derivatives
Q10034623-5,CHEMONTID:0004144,alternative_parents: Heteroaromatic compounds
Q10034623-5,CHEMONTID:0003890,alternative_parents: Vinylogous amides
Q10034623-5,CHEMONTID:0003260,alternative_parents: Sulfenyl compounds
Q10034623-5,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
Q10034623-5,CHEMONTID:0000278,alternative_parents: Organonitrogen compounds
Q10034623-5,CHEMONTID:0001517,alternative_parents: Organofluorides
Q10034623-5,CHEMONTID:0001516,alternative_parents: Organochlorides
Q10034623-5,CHEMONTID:0003940,alternative_parents: Organic oxides
Q10034623-5,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Q10034623-5,CHEMONTID:0000323,alternative_parents: Organooxygen compounds
Q10034623-5,CHEMONTID:0004557,alternative_parents: Organopnictogen compounds
Q10034623-5,NotAvailable,mMlecular_framework: Aromatic heteropolycyclic compounds
Q10034623-5,NotAvailable,"Substituents: [""Diarylthioether"", ""1,3-dichlorobenzene"", ""Thiophenol ether"", ""Chlorobenzene"", ""Fluorobenzene"", ""Halobenzene"", ""Pyrimidone"", ""Aryl chloride"", ""Aryl fluoride"", ""Aryl halide"", ""Monocyclic benzene moiety"", ""Pyridazine"", ""Pyrimidine"", ""Benzenoid"", ""Heteroaromatic compound"", ""Vinylogous amide"", ""Sulfenyl compound"", ""Azacycle"", ""Organoheterocyclic compound"", ""Organic nitrogen compound"", ""Organooxygen compound"", ""Organonitrogen compound"", ""Organofluoride"", ""Organochloride"", ""Organohalogen compound"", ""Organic oxide"", ""Organopnictogen compound"", ""Hydrocarbon derivative"", ""Organic oxygen compound"", ""Aromatic heteropolycyclic compound""]"
Q10034623-5,NotAvailable,External_descriptors: []
Q10034623-5,NotAvailable,"Ancestors: [""Aryl chlorides"", ""Aryl fluorides"", ""Aryl halides"", ""Aryl thioethers"", ""Azacyclic compounds"", ""Benzene and substituted derivatives"", ""Benzenoids"", ""Chemical entities"", ""Chlorobenzenes"", ""Diarylthioethers"", ""Diazines"", ""Dichlorobenzenes"", ""Fluorobenzenes"", ""Halobenzenes"", ""Heteroaromatic compounds"", ""Hydrocarbon derivatives"", ""Organic acids and derivatives"", ""Organic compounds"", ""Organic nitrogen compounds"", ""Organic oxides"", ""Organic oxygen compounds"", ""Organochlorides"", ""Organofluorides"", ""Organohalogen compounds"", ""Organoheterocyclic compounds"", ""Organonitrogen compounds"", ""Organooxygen compounds"", ""Organopnictogen compounds"", ""Organosulfur compounds"", ""Pyridazines and derivatives"", ""Pyrimidines and pyrimidine derivatives"", ""Pyrimidones"", ""Sulfenyl compounds"", ""Thioethers"", ""Thiophenol ethers"", ""Vinylogous amides""]"
Q10034623-5,NotAvailable,"predicted_chebi_terms: [""dichlorobenzene (CHEBI:23697)"", ""organic sulfide (CHEBI:16385)"", ""organofluorine compound (CHEBI:37143)"", ""pyrimidone (CHEBI:38337)"", ""organochlorine compound (CHEBI:36683)"", ""pyridazines (CHEBI:37921)"", ""organic aromatic compound (CHEBI:33659)"", ""enone (CHEBI:51689)"", ""enamine (CHEBI:47989)"", ""organosulfur compound (CHEBI:33261)"", ""organonitrogen heterocyclic compound (CHEBI:38101)"", ""organonitrogen compound (CHEBI:35352)"", ""organic oxide (CHEBI:25701)"", ""organic molecule (CHEBI:72695)"", ""organooxygen compound (CHEBI:36963)"", ""pnictogen molecular entity (CHEBI:33302)"", ""organic molecular entity (CHEBI:50860)"", ""aryl sulfide (CHEBI:35683)"", ""chemical entity (CHEBI:24431)"", ""benzenoid aromatic compound (CHEBI:33836)"", ""benzenes (CHEBI:22712)"", ""organohalogen compound (CHEBI:36684)"", ""organic heterocyclic compound (CHEBI:24532)"", ""diazines (CHEBI:38313)"", ""pyrimidines (CHEBI:39447)"", ""haloarene (CHEBI:50887)"", ""nitrogen molecular entity (CHEBI:51143)"", ""oxygen molecular entity (CHEBI:25806)""]"
Q10034623-5,NotAvailable,predicted_lipidmaps_terms: []
Q10034623-5,NotAvailable,Classification_version: 2.1
Q10034623-6,CHEMONTID:0000000,Kingdom: Organic compounds
Q10034623-6,CHEMONTID:0000012,Superclass: Lipids and lipid-like molecules
Q10034623-6,CHEMONTID:0000258,Class: Steroids and steroid derivatives
Q10034623-6,CHEMONTID:0001445,"Subclass: Bile acids, alcohols and derivatives"
Q10034623-6,CHEMONTID:0002194,"Direct_parent: Hydroxy bile acids, alcohols and derivatives"
Q10034623-6,CHEMONTID:0001469,alternative_parents: Cholesterols and derivatives
Q10034623-6,CHEMONTID:0004813,alternative_parents: Ecdysteroids
Q10034623-6,CHEMONTID:0003249,alternative_parents: 6-oxosteroids
Q10034623-6,CHEMONTID:0002985,alternative_parents: 3-hydroxy delta-7-steroids
Q10034623-6,CHEMONTID:0003233,alternative_parents: 3-beta-hydroxysteroids
Q10034623-6,CHEMONTID:0004495,alternative_parents: 14-hydroxysteroids
Q10034623-6,CHEMONTID:0002984,alternative_parents: Delta-7-steroids
Q10034623-6,CHEMONTID:0004325,alternative_parents: Cyclohexenones
Q10034623-6,CHEMONTID:0001670,alternative_parents: Tertiary alcohols
Q10034623-6,CHEMONTID:0001661,alternative_parents: Secondary alcohols
Q10034623-6,CHEMONTID:0001292,alternative_parents: Cyclic alcohols and derivatives
Q10034623-6,CHEMONTID:0002286,alternative_parents: Polyols
Q10034623-6,CHEMONTID:0003940,alternative_parents: Organic oxides
Q10034623-6,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Q10034623-6,NotAvailable,mMlecular_framework: Aliphatic homopolycyclic compounds
Q10034623-6,NotAvailable,"Substituents: [""Hexahydroxy bile acid, alcohol, or derivatives"", ""Cholesterol"", ""Cholesterol-skeleton"", ""Cholestane-skeleton"", ""Ecdysteroid"", ""25-hydroxysteroid"", ""Hydroxy bile acid, alcohol, or derivatives"", ""22-hydroxysteroid"", ""20-hydroxysteroid"", ""3-hydroxy-delta-7-steroid"", ""2-hydroxysteroid"", ""3-beta-hydroxysteroid"", ""Oxosteroid"", ""6-oxosteroid"", ""Hydroxysteroid"", ""3-hydroxysteroid"", ""14-hydroxysteroid"", ""Delta-7-steroid"", ""Cyclohexenone"", ""Tertiary alcohol"", ""Cyclic alcohol"", ""Secondary alcohol"", ""Ketone"", ""Polyol"", ""Organic oxide"", ""Organic oxygen compound"", ""Hydrocarbon derivative"", ""Carbonyl group"", ""Alcohol"", ""Organooxygen compound"", ""Aliphatic homopolycyclic compound""]"
Q10034623-6,NotAvailable,External_descriptors: []
Q10034623-6,NotAvailable,"Ancestors: [""14-hydroxysteroids"", ""3-beta-hydroxysteroids"", ""3-hydroxy delta-7-steroids"", ""3-hydroxysteroids"", ""6-oxosteroids"", ""Alcohols and polyols"", ""Bile acids, alcohols and derivatives"", ""Carbonyl compounds"", ""Chemical entities"", ""Cholestane steroids"", ""Cholesterols and derivatives"", ""Cyclic alcohols and derivatives"", ""Cyclic ketones"", ""Cyclohexenones"", ""Delta-7-steroids"", ""Ecdysteroids"", ""Hydrocarbon derivatives"", ""Hydroxy bile acids, alcohols and derivatives"", ""Hydroxysteroids"", ""Ketones"", ""Lipids and lipid-like molecules"", ""Organic compounds"", ""Organic oxides"", ""Organic oxygen compounds"", ""Organooxygen compounds"", ""Oxosteroids"", ""Polyols"", ""Secondary alcohols"", ""Steroids and steroid derivatives"", ""Tertiary alcohols""]"
Q10034623-6,NotAvailable,"predicted_chebi_terms: [""cholestanoid (CHEBI:50401)"", ""ecdysteroid (CHEBI:23897)"", ""6-oxo steroid (CHEBI:36883)"", ""steroid (CHEBI:35341)"", ""3beta-hydroxy steroid (CHEBI:36836)"", ""14-hydroxy steroid (CHEBI:36860)"", ""cyclohexenones (CHEBI:48953)"", ""tertiary alcohol (CHEBI:26878)"", ""secondary alcohol (CHEBI:35681)"", ""organic hydroxy compound (CHEBI:33822)"", ""polyol (CHEBI:26191)"", ""organic oxide (CHEBI:25701)"", ""organic molecule (CHEBI:72695)"", ""chemical entity (CHEBI:24431)"", ""lipid (CHEBI:18059)"", ""oxo steroid (CHEBI:35789)"", ""hydroxy steroid (CHEBI:35350)"", ""3-hydroxy steroid (CHEBI:36834)"", ""oxygen molecular entity (CHEBI:25806)"", ""organic molecular entity (CHEBI:50860)"", ""organooxygen compound (CHEBI:36963)"", ""carbonyl compound (CHEBI:36586)"", ""ketone (CHEBI:17087)"", ""cyclic ketone (CHEBI:3992)"", ""alcohol (CHEBI:30879)"", ""bile acid (CHEBI:3098)""]"
Q10034623-6,NotAvailable,"predicted_lipidmaps_terms: [""Cholesterol and derivatives (ST0101)"", ""Sterol Lipids (ST)"", ""Bile acids and derivatives (ST04)""]"
Q10034623-6,NotAvailable,Classification_version: 2.1
Q10034623-7,CHEMONTID:0000000,Kingdom: Organic compounds
Q10034623-7,CHEMONTID:0000002,Superclass: Organoheterocyclic compounds
Q10034623-7,CHEMONTID:0000195,Class: Piperidines
Q10034623-7,CHEMONTID:0000303,Subclass: Phenylpiperidines
Q10034623-7,CHEMONTID:0000303,Direct_parent: Phenylpiperidines
Q10034623-7,CHEMONTID:0000014,alternative_parents: Phenylbutylamines
Q10034623-7,CHEMONTID:0003899,alternative_parents: Aralkylamines
Q10034623-7,CHEMONTID:0002239,alternative_parents: Trialkylamines
Q10034623-7,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
Q10034623-7,CHEMONTID:0004557,alternative_parents: Organopnictogen compounds
Q10034623-7,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Q10034623-7,NotAvailable,mMlecular_framework: Aromatic heteromonocyclic compounds
Q10034623-7,NotAvailable,"Substituents: [""Phenylpiperidine"", ""Phenylbutylamine"", ""Aralkylamine"", ""Benzenoid"", ""Monocyclic benzene moiety"", ""Tertiary aliphatic amine"", ""Tertiary amine"", ""Azacycle"", ""Organic nitrogen compound"", ""Organopnictogen compound"", ""Hydrocarbon derivative"", ""Organonitrogen compound"", ""Amine"", ""Aromatic heteromonocyclic compound""]"
Q10034623-7,NotAvailable,External_descriptors: []
